ID,Name,Glottocode,Glottolog_Name,ISO639P3code,Macroarea,Latitude,Longitude,Family,Number,Canton,SubGroup,DialectGroup,Population,SpeakerAge,SpeakerProficiency,SpeakerLanguageUse,SpeakerNote
Chevroux,Chevroux,stan1290,,,,46.8883582,6.9069294,Indo-European,1,Vaud,Romance,Vaud,367,73,parlait le patois avec ses parents,n'a plus que rarement l'occasion de la pratique avec quelque vieux ou avec des Fribourgeois du voisinage.,tendance à franciser la pronunciation
Vaugondry,Vaugondry,stan1290,,,,46.8467152,6.6362255,Indo-European,2,Vaud,Romance,Vaud,,,,,
LAuberson,L'Auberson,stan1290,,,,46.8178516,6.4590043,Indo-European,3,Vaud,Romance,Vaud,,,,,
Vallorbe,Vallorbe,stan1290,,,,46.711414,6.3796258,Indo-European,4,Vaud,Romance,Vaud,,,,,
LeSentier,Le Sentier,stan1290,,,,46.6122131,6.2358557,Indo-European,5,Vaud,Romance,Vaud,,,,,
Longirod,Longirod,stan1290,,,,46.4944282,6.2585316,Indo-European,6,Vaud,Romance,Vaud,,,,,
Commugny,Commugny,stan1290,,,,46.320929,6.176213,Indo-European,7,Vaud,Romance,Vaud,,,,,
Vullierens,Vullierens,stan1290,,,,46.5727052,6.4816044,Indo-European,8,Vaud,Romance,Vaud,,,,,
Arnex,Arnex,stan1290,,,,46.6980681,6.5189028,Indo-European,9,Vaud,Romance,Vaud,,,,,
VillarsleTerroir,Villars-le-Terroir,stan1290,,,,46.657569,6.639461,Indo-European,10,Vaud,Romance,Vaud,,,,,
Prahins,Prahins,stan1290,,,,46.7331778,6.7383916,Indo-European,11,Vaud,Romance,Vaud,,,,,
Montpreveyres,Montpreveyres,stan1290,,,,46.582048,6.742199,Indo-European,12,Vaud,Romance,Vaud,,,,,
Charnex,Charnex,stan1290,,,,46.5613135,6.536765,Indo-European,13,Vaud,Romance,Vaud,,,,,
Roche,Roche,stan1290,,,,46.3614134,6.9290939,Indo-European,14,Vaud,Romance,Vaud,,,,,
OrmontDessus,Ormont-Dessus,stan1290,,,,46.3514789,7.158066,Indo-European,15,Vaud,Romance,Vaud,,,,,
ChateaudOex,Château-d'Oex,stan1290,,,,46.4732964,7.1285556,Indo-European,16,Vaud,Romance,Vaud,,,,,
StGingolph,St-Gingolph,stan1290,,,,46.3931549,6.8047071,Indo-European,17,Valais,Romance,Valais,,,,,
Collombey,Collombey,stan1290,,,,46.2679563,6.9459222,Indo-European,18,Valais,Romance,Valais,,,,,
Champery,Champéry,stan1290,,,,46.1778839,6.8693248,Indo-European,19,Valais,Romance,Valais,,,,,
Martigny,Martigny,stan1290,,,,46.101706,7.073483,Indo-European,20,Valais,Romance,Valais,,,,,
Orsieres,Orsières,stan1290,,,,46.0308094,7.1463639,Indo-European,21,Valais,Romance,Valais,,,,,
Lourtier,Lourtier,stan1290,,,,46.049002,7.265844,Indo-European,22,Valais,Romance,Valais,,,,,
Fully,Fully,stan1290,,,,46.1385798,7.1147534,Indo-European,23,Valais,Romance,Valais,,,,,
Conthey,Conthey,stan1290,,,,46.2334191,7.3083227,Indo-European,24,Valais,Romance,Valais,,,,,
Nendaz,Nendaz,stan1290,,,,46.1855093,7.3047431,Indo-European,25,Valais,Romance,Valais,,,,,
Saviese,Savièse,stan1290,,,,46.2535376,7.3509003,Indo-European,26,Valais,Romance,Valais,,,,,
Ayent,Ayent,stan1290,,,,46.2771888,7.4081901,Indo-European,27,Valais,Romance,Valais,,,,,
Miege,Miège,stan1290,,,,46.3119557,7.5473871,Indo-European,28,Valais,Romance,Valais,,,,,
Grone,Grône,stan1290,,,,46.2508508,7.4580917,Indo-European,29,Valais,Romance,Valais,,,,,
Evolene,Évolène,stan1290,,,,46.1125593,7.4963134,Indo-European,30,Valais,Romance,Valais,,,,,
Grimentz,Grimentz,stan1290,,,,46.1801158,7.5763635,Indo-European,31,Valais,Romance,Valais,,,,,
Collex,Collex,stan1290,,,,46.2761547,6.1235296,Indo-European,32,Genève,Romance,Genève,,,,,
Vernier,Vernier,stan1290,,,,46.217026,6.084291,Indo-European,33,Genève,Romance,Genève,,,,,
Laconnex,Laconnex,stan1290,,,,46.1557721,6.0355571,Indo-European,34,Genève,Romance,Genève,,,,,
Veyrier,Veyrier,stan1290,,,,46.16778,6.1832454,Indo-European,35,Genève,Romance,Genève,,,,,
Hermance,Hermance,stan1290,,,,46.302258,6.244375,Indo-European,36,Genève,Romance,Genève,,,,,
Semsalves,Semsalves,stan1290,,,,46.5731935,6.9273567,Indo-European,37,Fribourg,Romance,Fribourg,,,,,
Montbovon,Montbovon,stan1290,,,,46.4882147,7.0442231,Indo-European,38,Fribourg,Romance,Fribourg,,,,,
Arconciel,Arconciel,stan1290,,,,46.7473353,7.1214922,Indo-European,39,Fribourg,Romance,Fribourg,,,,,
AvrysurMatran,Avry-sur-Matran,stan1290,,,,46.7895993,7.0698887,Indo-European,40,Fribourg,Romance,Fribourg,,,,,
Courtepin,Courtepin,stan1290,,,,46.8652994,7.1238357,Indo-European,41,Fribourg,Romance,Fribourg,,,,,
Dompierre,Dompierre,stan1290,,,,46.8520788,6.990713,Indo-European,42,Fribourg,Romance,Fribourg,,,,,
Murist,Murist,stan1290,,,,46.7898177,6.8070537,Indo-European,43,Fribourg,Romance,Fribourg,,,,,
Sugiez,Sugiez,stan1290,,,,46.9624815,7.1134823,Indo-European,44,Fribourg,Romance,Fribourg,,,,,
Montalchez,Montalchez,stan1290,,,,46.8977631,6.746543,Indo-European,45,Neuchâtel,Romance,Neuchâtel,,,,,
Boudry,Boudry,stan1290,,,,46.950218,6.837028,Indo-European,46,Neuchâtel,Romance,Neuchâtel,,,,,
Corcelles,Corcelles,stan1290,,,,46.9830376,6.8624613,Indo-European,47,Neuchâtel,Romance,Neuchâtel,,,,,
Landeron,Landeron,stan1290,,,,47.055508,7.066851,Indo-European,48,Neuchâtel,Romance,Neuchâtel,,,,,
Savagnier,Savagnier,stan1290,,,,47.050961,6.956111,Indo-European,49,Neuchâtel,Romance,Neuchâtel,,,,,
