Grapheme	IPA	COUNT
#	+	2374
-	+	653
-#	+	2
.ɥ	.ɥ/ɥ	3
.w	.w/w	43
.wə	.wə/uə	2
.wɛ	.wɛ/uɛ	1
.wö	.wö/uö	1
.θ	.θ/θ	1
#w	+ w	2
ˈaːoɛ	aɛ	1
ˈawːə	aə	1
ˈej	ei̯	1
ˈiˈ	i	1
ˈiˈa	ia	2
ˈit	i t	1
ˈoˈa	oa	1
ˈøv	øu	1
ˈɔˈøː	ɔøː	1
ˈɔj	ɔi̯	3
ˈɔlʲ	ɔ lʲ	1
a͜ˈe	ae	1
a͜ˈeː	a͜ˈeː/aeː	2
aˈɛ̃	aˈɛ̃/aɛ	2
a͜ˈɛː	a͜ˈɛː/aɛː	1
aˈi	aˈi/ai	1
aˈo	aˈo/ao	2
a͜ˈo	a͜ˈo/ao	2
aˈɔː	aˈɔː/aɔː	2
aːj	aːj/aːi̯	1
aːo͜ɛ	aːo͜ɛ/aɛ	1
aːw	aːu̯	4
æˈo	æo	1
æ͜ˈo	æo	1
aẽĩ	aẽĩ/ãĩ	1
ãẽĩ	ãẽĩ/ãĩ	15
æj	æi̯	2
æjə	æjə/æə	1
æ͜o 	æo 	1
aɛ̃ĩ	aɛ̃ĩ/ãĩ	4
ãɛ̃ĩ	ãɛ̃ĩ/ãĩ	3
aou	aou/au	2
aowə	aowə/aə	1
aw	au̯	1
awə	awə/aə	1
ɐuvw	ɐu vʷ	1
ɑ̝ːj	ɑ̝ːi	2
ɑ̝wə	ɑ̝wə/ɑə	1
bj	b j	225
bl	b l	74
blʲ	b l j	112
blj	b l j	1
bʟ	b l	7
bʎ	b l	14
br	b r	240
bɾ	b ɾ 	1
bw	b w	61
çj	ç j	10
çl	ç l	21
çlʲ	ç l j	85
çlʲ 	ç l j 	1
çʎ	ç ʎ	4
ɕj	ɕ j	1
də	d ə	6
dj	d j	137
ðj	ð j	5
djɛ	d j ɛ	1
dʲj	dʲ j	2
dʲɥ	dʲ ɥ	11
dʲʒ̟j	dʒ̟ʲ j	1
dl	d l	2
dr	d r	714
drw	d r w	8
dɥ	d ɥ	10
dw	d w	27
dwʲ	dʲ w	1
dzj	dz j	13
dzw	dz w	5
dʒj	dʒ̰ j	58
dʒ̟j	dʒ̟ j	19
d̠ʒj	dʒ j	1
dʒʲɥ	dʒʲ ɥ	1
dʒs	dʒs/dʒ	1
dʒɥ	dʒ ɥ	1
dʒ̟ɥ	dʒ̟ ɥ	1
dʒw	dʒ w	4
eːig	eːi g	1
eːvr	eː v r	1
