Grapheme	IPA	Type
ĭ̀	ɪ	v
ị̆	i	v
ï	ɪ	v
ï̱	ɪ	v
ǐ	i	v
i̩	ɪ	v
ì̩	ɪ	v
ī̩	iː	v
ĭ̩	i	v
ĭ̩̀	ɪ	v
ï̩	ɪ	v
ï̩̄	ɪː	v
ï̩̆	ɪ	v
i̱	i	v
ì̱	ɪ	v
í̱	i	v
ĭ̱	i	v
i͜ằ	ia	v
i͜é	ie	v
i͜ĕ	ie	v
i͜ė	iə	v
i͜ë	iɛ	v
i͜ė̱	iə	v
o	o	v
ò	ɔ	v
ò̃	ɔ̃	v
ò̱̃	ɔ̃	v
ò̄̃	ɔ̃ː	v
ò̱	ɔ	v
ò͋	ɔ	v
ò͜ā	ɔaː	v
ò͜āè	ɔ aːɛ	v
ò͜āè̱	ɔaː ɛ	v
ò͜ă	ɔa	v
ò͜aͦ̄	ɔɒː	v
ò͜è	ɔɛ	v
ò͜ó	ɔo	v
ò͜ó ̱	ɔo	v
ò͜ó̱	ɔo	v
ò͜ʋ	ɔu	v
ò̱͜ó	ɔo	v
ó	o	v
ó̃	õ	v
ó̱̃	õ	v
ó̱	o	v
ó͜ă	oa	v
õ	õ	v
õ̱	õ	v
ō	oː	v
ṑ	ɔː	v
ṑ̩	ɔː	v
ṑ͜ó̱	ɔːo	v
ṓ	oː	v
ŏ	o	v
ŏ̀	ɔ	v
ŏ̀͜ó̱	ɔo	v
ŏ̀͜œ̱́	ɔø	v
ŏ́	o	v
ŏ̱	o	v
ȯ	ɔ	v
ȱ	ɔː	v
ȯ̱	ɔ	v
o̩	o	v
ò̩	ɔ	v
ò̩̃	ɔ̃	v
ò̩̱	o	v
ó̩	ˈ/o	v
ó̩̃	o	v
õ̩	o	v
ō̩	o	v
ṑ̩r	o r	v
ṓ̩	oː	v
ŏ̩	o	v
ŏ̩̀	ɔ	v
ŏ̩́	o	v
ŏ̩́ă	oa	v
ŏ̩́ă̩	oa	v
ȯ̩	ɔ	v
o̩̱	o	v
ȯ̩̱ʋ̄̀	ou	v
o̩ͮ	o	v
o̩ͮ̄	oː	v
o̱	o	v
ò̱͜eͥ̆	ɔe	v
ò̱͜œ	ɔø	v
ò̱͜œ̄	ɔøː	v
ò̱͜œ̄̀	ɔœː	v
ò̱͜ʋͦ	ɔu	v
ō̱	oː	v
ṑ̱	ɔː	v
ȯ̱̃	ɔ	v
ȯ̱͜œ	ɔø	v
ȯ̱͜œ̩̄	ɔøː	v
o̱̣	o	v
ò̱̣	o	v
ò̱̩	ɔ	v
o̱͜	o	v
o̱͜ā	oaː	v
o̱͜īí̱	oiː	v
o̱ͮ	o	v
o͜ă	oa	v
o͜ĭ	oɪ	v
oͮ	o	v
oͮ̃	õ	v
oͮ̄	oː	v
oͮ̆	o	v
u	y	v
ù	ʏ	v
ù̃	ỹ	v
ù̱	ʏ	v
ũ	ỹ	v
ū	yː	v
ū̀	ʏː	v
ŭ	y	v
ŭ̀	ʏ	v
ŭ͜è	yɛ	v
u̇	ʏ	v
u̩	y	v
ù̩	ʏ	v
ū̩	ʏ	v
ū̩̀	ʏː	v
ŭ̩	y	v
ŭ̩̀	ʏ	v
ŭ̩͜ĕ̀	yɛ	v
u̩̇	ʏ	v
ŭ̩̣	y	v
u̱	y	v
u̱̇	ʏ	v
u͜a	ya	v
u͜ằ	ya	v
u͜a̩	ya	v
u͜ā̩	yaː	v
u͜à̱	ya	v
u͜ĕ̀	yɛ	v
u͜ė	yə	v
uͨ	y	v
uͨ̄	yː	v
uͨ̆	y	v
v	v	v
ã͜è̃	ãɛ̃	v
œ	ø	v
œ̀	œ	v
œ̀̃	œ̃	v
œ̱̀	œ	v
œ̱̀͜ó	œo	v
œ̱̀͜ṓ	œoː	v
œ̀͜i	œi	v
œ̀͜ó	œo	v
œ̀͜u	œy	v
œ́	ø	v
œ́̃	ø̃	v
œ̱́	ø	v
œ̃	ø	v
œ̱̃	ø	v
œ̄	øː	v
œ̄̀	œː	v
œ̄́	øː	v
œ̣̄	ø	v
œ̆	ø	v
œ̆̀	œ	v
œ̣̆̀	ø	v
œ̆̀͜ò̃	œɔ̃	v
œ̆̀͜ʋͦ	œu	v
œ̆́	ø	v
œ̆́͜u̱	øy	v
œ̆͜ò̃	øɔ̃	v
œ̇	ø	v
œ̩	ø	v
œ̩̀	œ	v
œ̩̀̃	ø	v
œ̩̄	øː	v
œ̩̄̀	ø	v
œ̩̄́	øː	v
œ̩̆	ø	v
œ̩̆̀	œ	v
œ̩̇	ø	v
œ̱	ø	v
œ̱̀̃	ø	v
œ̱̀͜i	œi	v
œ̱̀͜ò̃	œɔ̃	v
œ̱̀͜ŏ́	œo	v
œ̱̀͜ó̩	œo	v
œ̱̀͜ʋͦ	œu	v
œ̱̇	ø	v
œ̱̇͜ŏ́	øo	v
œ̱̇͜ṓ̩	øoː	v
œ̱͜ó	øo	v
œ͜ó	øo	v
œ͜ù	øʏ	v
œ͜u̱	øy	v
œͦ	ɞ	v
œͦ̄	ɞː	v
œͦ̆	ɞ	v
œͧ	ø	v
œͧ̄	øː	v
ʋ	u	v
ʋ̀	ʊ	v
ʋ̀̃	ʊ̃	v
ʋ̱̀	ʊ	v
ʋ̃	ũ	v
ʋ̱̃	ũ	v
ʋ̄	uː	v
ʋ̄̀	ʊː	v
ʋ̄́	u	v
ʋ̆	u	v
ʋ̆̀	ʊ	v
ʋ̆͜	u	v
ʋ̇	ʊ	v
ʋ̩	u	v
ʋ̩̀	ʊ	v
ʋ̩̀̃	ʊ̃	v
ʋ̩̄	uː	v
ʋ̩̄̀	u	v
ʋ̩̆	u	v
ʋ̩̇	ʊ	v
ʋ̩̱̀	u	v
ʋ̩ͦ	u	v
ʋ̩ͦ̄	u	v
ʋ̩ͧ	ʉ	v
ʋ̱	u	v
ʋ̱̄	uː	v
ʋ̱̆	u	v
ʋ̱̇	ʊ	v
ʋ̱ͦ	u	v
ʋ̱ͧ	ʉ	v
ʋ͜	u	v
ʋ͜ă	ua	v
ʋ͜ắ	ua	v
ʋͦ	u	v
ʋͦ̃	ũ	v
ʋͦ̄	u	v
ʋ̱ͦ̄r	u r	v
ʋͦ̆	u	v
ʋ̣ͦă	ua	v
ʋͦ͜	u	v
ʋͧ	ʉ	v
ʋͧ̄	ʉː	v
ʋͧ̆	ʉ	v
ʋͧ͜a	ua	v
ᶙ̣̄	u	v
aʋ	au	v
īë̱	iːɛ	v
œͦ̆ʋ̱ͧ	ɞʉ	v
œu̱	øy	v
ȧʋ̱	ɐu	v
ã̱ò̃	ãɔ̃	v
a̱õ	aõ	v
a̱ò̃	aɔ̃	v
īė̱	iːə	v
dy̓	dʒʲ	v
^dy̓	dʒʲ	v
^dj͛i	dʒ i	v
ĕ́i̱	ei	v
ūė̱	yːə	v
œ́u̱	øy	v
a̩ͦ̄a̩ͦ̄	ɑːɑː	v
a̩ͦ̄aͦ̄	ɑːɒː	v
a̩ͦ̄a̱ͦ̃	ɑːɒ	v
a̩ͦ̄a̱ͦ	ɑːɒ	v
a̩ͦ̄a̩ͦ̃	ɑːɑ	v
a̩ͦ̄a̩ͦ	ɑːɑ	v
a̩ͦ̄aͦ̃	ɑːɑ	v
a̩ͦ̄aͦ̆	ɑːɒ	v
a̩ͦ̄aͦ	ɑːɒ	v
a̩ͦ̄a̩ͤ̄	ɑːæː	v
a̩ͦ̄aͤ̄	ɑːæː	v
a̩ͦ̄a̱̩ͤ	ɑːæ	v
a̩ͦ̄a̱ͤ	ɑːæ	v
a̩ͦ̄a̩ͤ̆	ɑːæ	v
a̩ͦ̄a̩ͤ	ɑːæ	v
a̩ͦ̄aͤ͋	ɑːæ	v
a̩ͦ̄aͤ̃	ɑːæ̃	v
a̩ͦ̄aͤ̆	ɑːæ	v
a̩ͦ̄aͤ	ɑːæ	v
a̩ͦ̄ā̩̃	ɑːãː	v
a̩ͦ̄ā̩̀	ɑːaː	v
a̩ͦ̄ā̩́	ɑːɑː	v
a̩ͦ̄ā̩	ɑːaː	v
a̩ͦ̄à̄̃	ɑːãː	v
a̩ͦ̄ā̃	ɑːãː	v
a̩ͦ̄ā̀	ɑːaː	v
a̩ͦ̄ā́	ɑːɑː	v
a̩ͦ̄ā	ɑːaː	v
a̩ͦ̄a̱̩	ɑːa	v
a̩ͦ̄à̩̃	ɑːã	v
a̩ͦ̄ă̩̇	ɑːɐ	v
a̩ͦ̄ằ̩	ɑːa	v
a̩ͦ̄ã̱	ɑːa	v
a̩ͦ̄ắ̩	ɑːɑ	v
a̩ͦ̄ă̱	ɑːa	v
a̩ͦ̄ã̩	ɑːã	v
a̩ͦ̄ȧ̱	ɑːɐ	v
a̩ͦ̄à̱	ɑːa	v
a̩ͦ̄á̱	ɑːɑ	v
a̩ͦ̄ă̩	ɑːa	v
a̩ͦ̄ȧ̩	ɑːɐ	v
a̩ͦ̄à̩	ɑːa	v
a̩ͦ̄á̩	ɑːɑ	v
a̩ͦ̄a̱	ɑːa	v
a̩ͦ̄a̩	ɑːa	v
a̩ͦ̄à̃	ɑːã	v
a̩ͦ̄ằ	ɑːa	v
a̩ͦ̄ắ	ɑːɑ	v
a̩ͦ̄ã	ɑːã	v
a̩ͦ̄ă	ɑːa	v
a̩ͦ̄ȧ	ɑːɐ	v
a̩ͦ̄à	ɑːa	v
a̩ͦ̄á	ɑːɑ	v
a̩ͦ̄a	ɑːa	v
a̩ͦ̄e̩ͥ̄	ɑːe	v
a̩ͦ̄eͥ̄	ɑːeː	v
a̩ͦ̄e̱ͥ	ɑːe	v
a̩ͦ̄e̩ͥ	ɑːe	v
a̩ͦ̄eͥ̃	ɑːẽ	v
a̩ͦ̄eͥ̆	ɑːe	v
a̩ͦ̄eͥ	ɑːe	v
a̩ͦ̄è̩̄̃	ɑːɛ̃ː	v
a̩ͦ̄ḕ̱	ɑːɛː	v
a̩ͦ̄ḕ̩	ɑːɛː	v
a̩ͦ̄ḗ̩	ɑːeː	v
a̩ͦ̄ē̩	ɑːeː	v
a̩ͦ̄è̄̃	ɑːɛ̃ː	v
a̩ͦ̄ē̃	ɑːẽː	v
a̩ͦ̄ë̄	ɑːɛː	v
a̩ͦ̄ḕ	ɑːɛː	v
a̩ͦ̄ḗ	ɑːeː	v
a̩ͦ̄ē	ɑːeː	v
a̩ͦ̄ė̱̣	ɑːə	v
a̩ͦ̄ė̱̃	ɑːə	v
a̩ͦ̄è̱̃	ɑːɛ	v
a̩ͦ̄é̱̃	ɑːe	v
a̩ͦ̄ĕ̱̀	ɑːɛ	v
a̩ͦ̄ë̩̆	ɑːɛ	v
a̩ͦ̄è̩̃	ɑːɛ̃	v
a̩ͦ̄é̩̃	ɑːẽ	v
a̩ͦ̄ĕ̩̀	ɑːɛ	v
a̩ͦ̄ẽ̱	ɑːe	v
a̩ͦ̄ĕ̩́	ɑːe	v
a̩ͦ̄ë̱	ɑːɛ	v
a̩ͦ̄ẽ̩	ɑːe	v
a̩ͦ̄ė̱	ɑːə	v
a̩ͦ̄è̱	ɑːɛ	v
a̩ͦ̄é̱	ɑːe	v
a̩ͦ̄ĕ̩	ɑːe	v
a̩ͦ̄è͋	ɑːɛ	v
a̩ͦ̄ë̩	ɑːɛ	v
a̩ͦ̄é͋	ɑːe	v
a̩ͦ̄ė̩	ɑːə	v
a̩ͦ̄è̩	ɑːɛ	v
a̩ͦ̄é̩	ɑːe	v
a̩ͦ̄e̱	ɑːe	v
a̩ͦ̄e̩	ɑːe	v
a̩ͦ̄ë̃	ɑːɛ	v
a̩ͦ̄ė̃	ɑːə̃	v
a̩ͦ̄ë̆	ɑːɛ	v
a̩ͦ̄è̃	ɑːɛ̃	v
a̩ͦ̄é̃	ɑːẽ	v
a̩ͦ̄ĕ̀	ɑːɛ	v
a̩ͦ̄ĕ́	ɑːe	v
a̩ͦ̄ẽ	ɑːẽ	v
a̩ͦ̄ĕ	ɑːe	v
a̩ͦ̄ë	ɑːɛ	v
a̩ͦ̄ė	ɑːə	v
a̩ͦ̄è	ɑːɛ	v
a̩ͦ̄é	ɑːe	v
a̩ͦ̄e	ɑːe	v
a̩ͦ̄ï̩̄	ɑːɪː	v
a̩ͦ̄ī̱	ɑːiː	v
a̩ͦ̄ī̩	ɑːiː	v
a̩ͦ̄ī̀	ɑːɪː	v
a̩ͦ̄ī	ɑːiː	v
a̩ͦ̄ï̩̆	ɑːɪ	v
a̩ͦ̄ĭ̩̀	ɑːɪ	v
a̩ͦ̄ĩ̱	ɑːi	v
a̩ͦ̄ĭ̱	ɑːi	v
a̩ͦ̄ï̱	ɑːɪ	v
a̩ͦ̄ì̱	ɑːɪ	v
a̩ͦ̄ï̩	ɑːɪ	v
a̩ͦ̄ì̩	ɑːɪ	v
a̩ͦ̄i̱	ɑːi	v
a̩ͦ̄i̩	ɑːɪ	v
a̩ͦ̄ì̃	ɑːɪ̃	v
a̩ͦ̄ĭ̀	ɑːɪ	v
a̩ͦ̄ĩ	ɑːɪ̃	v
a̩ͦ̄ĭ	ɑːɪ	v
a̩ͦ̄ï	ɑːɪ	v
a̩ͦ̄ì	ɑːɪ	v
a̩ͦ̄i	ɑːi	v
a̩ͦ̄o̩ͮ̄	ɑːoː	v
a̩ͦ̄oͮ̄	ɑːoː	v
a̩ͦ̄o̱ͮ	ɑːo	v
a̩ͦ̄o̩ͮ	ɑːo	v
a̩ͦ̄oͮ̃	ɑːõ	v
a̩ͦ̄oͮ̆	ɑːo	v
a̩ͦ̄oͮ	ɑːo	v
a̩ͦ̄ṓ̩	ɑːoː	v
a̩ͦ̄ō̱	ɑːoː	v
a̩ͦ̄ṓ	ɑːoː	v
a̩ͦ̄ō	ɑːoː	v
a̩ͦ̄ó̱̃	ɑːo	v
a̩ͦ̄õ̱	ɑːo	v
a̩ͦ̄ŏ̱	ɑːo	v
a̩ͦ̄ó̱	ɑːo	v
a̩ͦ̄ŏ̩	ɑːo	v
a̩ͦ̄ó̩	ɑːo	v
a̩ͦ̄o̱	ɑːo	v
a̩ͦ̄o̩	ɑːo	v
a̩ͦ̄ó̃	ɑːõ	v
a̩ͦ̄ŏ́	ɑːo	v
a̩ͦ̄ṑ̱	ɑːɔː	v
a̩ͦ̄ò̄̃	ɑːɔ̃ː	v
a̩ͦ̄ȱ	ɑːɔː	v
a̩ͦ̄ṑ	ɑːɔː	v
a̩ͦ̄ò̱̩	ɑːɔ	v
a̩ͦ̄ȯ̱̃	ɑːɔ	v
a̩ͦ̄ò̱̃	ɑːɔ	v
a̩ͦ̄ò̩̃	ɑːɔ̃	v
a̩ͦ̄ŏ̩̀	ɑːɔ	v
a̩ͦ̄ȯ̱	ɑːɔ	v
a̩ͦ̄ò̱	ɑːɔ	v
a̩ͦ̄ò͋	ɑːɔ	v
a̩ͦ̄ȯ̩	ɑːɔ	v
a̩ͦ̄ò̩	ɑːɔ	v
a̩ͦ̄ò̃	ɑːɔ̃	v
a̩ͦ̄ŏ̀	ɑːɔ	v
a̩ͦ̄ȯ	ɑːɔ	v
a̩ͦ̄ò	ɑːɔ	v
a̩ͦ̄õ	ɑːõ	v
a̩ͦ̄ŏ	ɑːo	v
a̩ͦ̄ó	ɑːo	v
a̩ͦ̄o	ɑːo	v
a̩ͦ̄œͧ̄	ɑːøː	v
a̩ͦ̄œͧ	ɑːø	v
a̩ͦ̄œͦ̄	ɑːɞː	v
a̩ͦ̄œͦ̆	ɑːɞ	v
a̩ͦ̄œͦ	ɑːɞ	v
a̩ͦ̄œ̄̀	ɑːœː	v
a̩ͦ̄œ̩̆̀	ɑːœ	v
a̩ͦ̄œ̱̀	ɑːœ	v
a̩ͦ̄œ̩̀	ɑːœ	v
a̩ͦ̄œ̀̃	ɑːœ̃	v
a̩ͦ̄œ̆̀	ɑːœ	v
a̩ͦ̄œ̀	ɑːœ	v
a̩ͦ̄œ̩̄́	ɑːøː	v
a̩ͦ̄œ̩̄	ɑːøː	v
a̩ͦ̄œ̄́	ɑːøː	v
a̩ͦ̄œ̄	ɑːøː	v
a̩ͦ̄œ̱̃	ɑːø	v
a̩ͦ̄œ̱́	ɑːø	v
a̩ͦ̄œ̩̆	ɑːø	v
a̩ͦ̄œ̱	ɑːø	v
a̩ͦ̄œ̩	ɑːø	v
a̩ͦ̄œ́̃	ɑːø̃	v
a̩ͦ̄œ̆́	ɑːø	v
a̩ͦ̄œ̃	ɑːø	v
a̩ͦ̄œ̆	ɑːø	v
a̩ͦ̄œ́	ɑːø	v
a̩ͦ̄œ	ɑːø	v
a̩ͦ̄uͨ̄	ɑːyː	v
a̩ͦ̄uͨ̆	ɑːy	v
a̩ͦ̄uͨ	ɑːy	v
a̩ͦ̄ū̩̀	ɑːʏː	v
a̩ͦ̄ū̩	ɑːʏ	v
a̩ͦ̄ū̀	ɑːʏː	v
a̩ͦ̄ū	ɑːỹː	v
a̩ͦ̄ŭ̩̀	ɑːʏ	v
a̩ͦ̄u̱̇	ɑːʏ	v
a̩ͦ̄ù̱	ɑːʏ	v
a̩ͦ̄ŭ̩	ɑːy	v
a̩ͦ̄u̩̇	ɑːʏ	v
a̩ͦ̄ù̩	ɑːʏ	v
a̩ͦ̄u̱	ɑːy	v
a̩ͦ̄u̩	ɑːy	v
a̩ͦ̄ù̃	ɑːỹ	v
a̩ͦ̄ŭ̀	ɑːʏ	v
a̩ͦ̄ũ	ɑːỹ	v
a̩ͦ̄ŭ	ɑːy	v
a̩ͦ̄u̇	ɑːʏ	v
a̩ͦ̄ù	ɑːʏ	v
a̩ͦ̄u	ɑːy	v
a̩ͦ̄ʋͧ̄	ɑːʉː	v
a̩ͦ̄ʋ̱ͧ	ɑːʉ	v
a̩ͦ̄ʋ̩ͧ	ɑːʉ	v
a̩ͦ̄ʋͧ̆	ɑːʉ	v
a̩ͦ̄ʋͧ	ɑːʉ	v
a̩ͦ̄ʋ̱̄	ɑːuː	v
a̩ͦ̄ʋ̩̄	ɑːuː	v
a̩ͦ̄ʋ̄̀	ɑːʊː	v
a̩ͦ̄ʋ̄	ɑːuː	v
a̩ͦ̄ʋ̩̀̃	ɑːʊ̃	v
a̩ͦ̄ʋ̱̃	ɑːu	v
a̩ͦ̄ʋ̱̆	ɑːu	v
a̩ͦ̄ʋ̱̇	ɑːʊ	v
a̩ͦ̄ʋ̱̀	ɑːʊ	v
a̩ͦ̄ʋ̩̆	ɑːu	v
a̩ͦ̄ʋ̩̇	ɑːʊ	v
a̩ͦ̄ʋ̩̀	ɑːʊ	v
a̩ͦ̄ʋ̱	ɑːu	v
a̩ͦ̄ʋ̩	ɑːu	v
a̩ͦ̄ʋ̀̃	ɑːʊ̃	v
a̩ͦ̄ʋ̆̀	ɑːʊ	v
a̩ͦ̄ʋ̃	ɑːũ	v
a̩ͦ̄ʋ̆	ɑːu	v
a̩ͦ̄ʋ̇	ɑːʊ	v
a̩ͦ̄ʋ̀	ɑːʊ	v
a̩ͦ̄ʋ	ɑːu	v
aͦ̄a̩ͦ̄	ɒːɑː	v
aͦ̄aͦ̄	ɒːɒː	v
aͦ̄a̱ͦ̃	ɒːɒ	v
aͦ̄a̱ͦ	ɒːɒ	v
aͦ̄a̩ͦ̃	ɒːɑ	v
aͦ̄a̩ͦ	ɒːɑ	v
aͦ̄aͦ̃	ɒːɑ	v
aͦ̄aͦ̆	ɒːɒ	v
aͦ̄aͦ	ɒːɒ	v
aͦ̄a̩ͤ̄	ɒːæː	v
aͦ̄aͤ̄	ɒːæː	v
aͦ̄a̱̩ͤ	ɒːæ	v
aͦ̄a̱ͤ	ɒːæ	v
aͦ̄a̩ͤ̆	ɒːæ	v
aͦ̄a̩ͤ	ɒːæ	v
aͦ̄aͤ͋	ɒːæ	v
aͦ̄aͤ̃	ɒːæ̃	v
aͦ̄aͤ̆	ɒːæ	v
aͦ̄aͤ	ɒːæ	v
aͦ̄ā̩̃	ɒːãː	v
aͦ̄ā̩̀	ɒːaː	v
aͦ̄ā̩́	ɒːɑː	v
aͦ̄ā̩	ɒːaː	v
aͦ̄à̄̃	ɒːãː	v
aͦ̄ā̃	ɒːãː	v
aͦ̄ā̀	ɒːaː	v
aͦ̄ā́	ɒːɑː	v
aͦ̄ā	ɒːaː	v
aͦ̄a̱̩	ɒːa	v
aͦ̄à̩̃	ɒːã	v
aͦ̄ă̩̇	ɒːɐ	v
aͦ̄ằ̩	ɒːa	v
aͦ̄ã̱	ɒːa	v
aͦ̄ắ̩	ɒːɑ	v
aͦ̄ă̱	ɒːa	v
aͦ̄ã̩	ɒːã	v
aͦ̄ȧ̱	ɒːɐ	v
aͦ̄à̱	ɒːa	v
aͦ̄á̱	ɒːɑ	v
aͦ̄ă̩	ɒːa	v
