Grapheme	IPA	Type
ĭ̩t̮è	i t e	 
oͦ̃n	õ n	 
oͧ̄r	o r	 
oͧ̄v	o v	 
p	p	 
pf	pf	 
poͧ̆ʋ̱̄rò̱	p ou r o	 
u͜āyė̱	yaː j ə	 
vạͤ̆rda	v a r d a	 
tṣ	tθ	affr
tṣ̍	tθˡ	affr
Í̱è̄̃	iɛ̃	v
a	a	v
à	a	v
à̃	ã	v
à̄̃	ãː	v
à̱	a	v
à͜è̱	aɛ	v
à͜ė	aə	v
á	ɑ	v
á̃	ã	v
á̱	ɑ	v
ã	ã	v
ã̱	ã	v
ã͜ẽ̱ĩ̱	ãẽ ɪ̃	v
ā	aː	v
āo̱͜è	aːo ɛ	v
āo̱͜è̱	aː oɛ	v
ā̀	aː	v
ā́	ɑː	v
ā̃	ãː	v
ā͜è	aːɛ	v
ā͜è̱	aːɛ	v
ā͜é	aːe	v
ā͜é̱	aːe	v
ā͜ò̱	aːɔ	v
ă	a	v
ăyă͜ó̱	a j ao	v
ằ	a	v
ằ͜ĭ̀	aɪ	v
ắ	ɑ	v
ă̱	a	v
ă͜è	aɛ	v
ă͜è̱	aɛ	v
ă͜é̱	ae	v
ă͜ĕ̀	aɛ	v
ă͜ĕ́	ae	v
ă͜ḕ̩	aɛː	v
ă͜e̱	ae	v
ă͜eͥ	ae	v
ă͜i̱	ai	v
ă͜ó	ao	v
ă͜ó̱	ao	v
ă͜ŏ́	ao	v
ă͜ʋ̆̀	aʊ	v
ă͜ʋͦ	au	v
ă͜ʋͦ̆	au	v
ă̱͜ĕ̀	aɛ	v
ȧ	ɐ	v
ȧ̱	ɐ	v
a̩	a	v
à̩	a	v
à̩̃	ã	v
á̩	ɑ	v
ã̩	ã	v
ā̩	aː	v
ā̩̀	aː	v
ā̩́	ɑː	v
ā̩̃	ãː	v
ă̩	a	v
ằ̩	a	v
ắ̩	ɑ	v
ă̩̇	ɐ	v
ă̩͜è	aɛ	v
ȧ̩	ɐ	v
a̩̱	a	v
a̩̱ͤ͜ó	ao	v
a̩͜è	aɛ	v
a̩͜é	ae	v
a̩͜ò	aɔ	v
a̩͜ó	ao	v
a̩͜ó̱	ao	v
a̩͜ṑ	aɔː	v
a̩ͤ	æ	v
a̩ͤ̄	æː	v
a̩ͤ̆	æ	v
a̩ͤ͜ó	æo	v
a̩ͤ͜ŏ́	æo	v
a̩ͦ	ɑ	v
a̩ͦ̃	ɑ	v
a̩ͦ̄	ɑː	v
a̱	a	v
a̱ó͜ʋ̱	a ou	v
ã̱͜è̃	aɛ̃	v
ā̱	a	v
ằ̱	a	v
ȧ̱̃	a	v
a̱̩	a	v
a̱̩ͤ	æ	v
a̱̩ͤ͜ó	æo	v
a̱͜aͤ	aæ	v
a̱͜aͤ̄	aæː	v
a̱͜e	ae	v
a̱͜è	aɛ	v
a̱͜è̃	aɛ̃	v
a̱͜é	ae	v
a̱͜ḕ	aɛː	v
a̱͜ò	aɔ	v
a̱͜òy	aɔ j	v
a̱͜òyè̱	aɔ j ɛ	v
a̱͜ó	ao	v
a̱͜ō	aoː	v
a̱͜ṑ	aɔː	v
a̱ͤ	æ	v
a̱ͤ͜ó	æo	v
a̱ͦ	ɒ	v
a̱ͦ̃	ɒ	v
a̱ͦ͜è̃	ɒɛ̃	v
a̱ͦ͜ṑ	ɒɔː	v
a͜a	aː	v
a͜ā	aː	v
a͜aͤ	aæ	v
a͜aͤ̄	aæː	v
a͜e	ae	v
a͜è	aɛ	v
a͜è̱	aɛ	v
a͜é	ae	v
a͜é̱	ae	v
a͜ē	aeː	v
a͜ḕ	aɛː	v
a͜é̩	ae	v
a͜ē̩	aeː	v
a͜ḗ̩	aˈ/eː	v
a͜e̱	ae	v
a͜e̱ͥ	ae	v
a͜eͥ	ae	v
a͜i	ai	v
a͜i̱	ai	v
a͜o	ao	v
a͜ò	aɔ	v
a͜ò̱	aɔ	v
a͜ó	ao	v
a͜ó̱	ao	v
a͜ō	aoː	v
a͜ṓ	aoː	v
a͜ȯ̱	aɔ	v
a͜ó̩	aˈ/o	v
a͜o̱	ao	v
a͜ʋ	au	v
a͜ʋ̀	aʊ	v
a͜ʋ̆	au	v
a͜ʋ̱	au	v
a͜ʋͦ	au	v
aͤ	æ	v
aͤ̃	æ̃	v
aͤ̄	æː	v
aͤ̆	æ	v
ạͤ̆	a	v
aͤ̆͜ó	æo	v
aͤ̆͜ŏ́	æo	v
aͤ͋	æ	v
aͤ͜è	æɛ	v
aͤ͜è̱	æɛ	v
aͤ͜ó	æo	v
aͤ͜ŏ́	æo	v
aͤ͜ó̩	æo	v
aͤ͜œ̄̀	æœː	v
aͦ	ɒ	v
aͦ̃	ɑ	v
aͦ̃͜è̃	ɑɛ̃	v
aͦ̃͜é̃	ɑẽ	v
aͦ̃͜ë̃	ɑɛ	v
aͦ̄	ɒː	v
a̱ͦ̄	a	v
aͦ̆	ɒ	v
aͦ͜ó	ɒo	v
aͦ͜ó̱	ɒo	v
e	e	v
è	ɛ	v
è̃	ɛ̃	v
è̱̃	ɛ̃	v
è̃͜ĩ̱	ɛ̃ɪ̃	v
è̄	ɛ	v
è̄̃	ɛ̃ː	v
è̱	e	v
è͉	e	v
è͋	ɛ	v
è͜è	ɛː	v
è͜i̱	ɛi	v
è̱͜é	ɛe	v
é	e	v
é̃	ẽ	v
é̱	e	v
é͋	e	v
é͜i	ei	v
é͜i̱	ei	v
ẽ	ẽ	v
ē	eː	v
ḕ	ɛː	v
ḗ	eː	v
ḗ́́	e	v
ē̃	ẽː	v
ĕ	e	v
ĕ̀	ɛ	v
ĕ̱̀	ɛ	v
ĕ́	e	v
ĕ́͜i̱	ei	v
ĕ̇	e	v
ĕ̇i̱	ei	v
ė	ə	v
ė̃	ə̃	v
ė̱̃	ə̃	v
ė̱	ə	v
ė͋	e	v
ė͜i	əi	v
ë	ɛ	v
ë̃	ɛ	v
ë̄	ɛː	v
ë̆	ɛ	v
ë̱	ɛ	v
e̩	e	v
è̩	ɛ	v
è̩̃	ɛ̃	v
è̩̄̃	ɛ̃ː	v
é̩	e	v
é̩̃	ẽ	v
ẽ̩	e	v
ē̩	eː	v
ḕ̩	ɛː	v
ḗ̩	eː	v
ĕ̩	e	v
ĕ̩̀	ɛ	v
ĕ̩́	e	v
ė̩	ˈ/ə	v
ë̩	ɛ	v
ë̩̆	ɛ	v
e̩̱	e	v
è̩̱	ɛ	v
ė̩̱	ɛ	v
e̩ͥ	e	v
e̩ͥ̄	e	v
e̱	e	v
è̱͜ã	ɛã	v
é̱̃	e	v
ẽ̱	e	v
ē̱	e	v
ḕ̱	ɛː	v
ė̱͜é	əe	v
ė̱͜ó	əo	v
ë̱͜ó	ɛo	v
ė̱̣	ə	v
e̱ͥ	e	v
eͥ	e	v
eͥ̃	ẽ	v
eͥ̄	eː	v
ẹͥ̄i̱	ei	v
eͥ̆	e	v
i	i	v
ia͜ó̱	i ao	v
ì	ɪ	v
ì̃	ɪ̃	v
ĩ	ɪ̃	v
ĩ̱	ɪ̃	v
ī	iː	v
ī̀	ɪː	v
ī́	i	v
ī̱	iː	v
i̅	i	v
ĭ	ɪ	v
