# Wordlist

# DATA
ID	DOCULECT	CONCEPT	LATIN	CANTON	LONGITUDE	LATITUDE	VALUE	FORM	SEGMENTED	TOKENS	BROAD_TOKENS
#
25609	L'Auberson	(au) cou	collu	VD	6.4590043	46.8178516	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25612	Longirod	(au) cou	collu	VD	6.2585316	46.4944282	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25617	Prahins	(au) cou	collu	VD	6.7383916	46.7331778	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25621	Ormont-Dessus	(au) cou	collu	VD	7.158066	46.3514789	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25624	Collombey	(au) cou	collu	VS	6.9459222	46.2679563	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25628	Lourtier	(au) cou	collu	VS	7.265844	46.049002	kʋ	kʋ	k ʋ	k u	k u
25630	Conthey	(au) cou	collu	VS	7.3083227	46.2334191	kʋ	kʋ	k ʋ	k u	k u
25631	Nendaz	(au) cou	collu	VS	7.3047431	46.1855093	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25636	Évolène	(au) cou	collu	VS	7.4963134	46.1125593	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25637	Grimentz	(au) cou	collu	VS	7.5763635	46.1801158	kṓʋ̱	kṓʋ̱	k ṓ ʋ̱	k oː u͉	k oː u
25642	Hermance	(au) cou	collu	GE	6.244375	46.302258	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25647	Courtepin	(au) cou	collu	FR	7.1238357	46.8652994	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25648	Dompierre	(au) cou	collu	FR	6.990713	46.8520788	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25652	Boudry	(au) cou	collu	NE	6.837028	46.950218	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25654	Landeron	(au) cou	collu	NE	7.066851	47.055508	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25656	Côte-aux-Fées	(au) cou	collu	NE	6.489867	46.866729	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25659	Cerneux-Pêquignot	(au) cou	collu	NE	6.6661454	47.0169066	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25662	Plagne	(au) cou	collu	JU	7.284885	47.1874392	kāè̱	kāè̱	k ā è̱	k a̠ː ɛ͉	k aː ɛ
25668	Courtedoux	(au) cou	collu	JU	7.0413733	47.4101588	kŏ́	kŏ́	k ŏ́	k ŏ	k o
25640	Laconnex	(au) cou	collu	GE	6.0355571	46.1557721	kʋ	kʋ	k ʋ	k u	k u
#
25299	L'Auberson	(au) coude	cubitu	VD	6.4590043	46.8178516	kŏ̀d	kŏ̀d	k ŏ̀ d	k ɔ̆ d	k ɔ d
25302	Longirod	(au) coude	cubitu	VD	6.2585316	46.4944282	ka̩͜ó̱dȯ̱	ka̩ó̱dȯ̱	k a̩ ó̱ d ȯ̱	k á̠ o͉ d ɔ͉̈	k ˈ/a o d ɔ
25307	Prahins	(au) coude	cubitu	VD	6.7383916	46.7331778	kṑdo̱	kṑdo̱	k ṑ d o̱	k ɔː d o̝͉	k ɔː d o
25311	Ormont-Dessus	(au) coude	cubitu	VD	7.158066	46.3514789	kŏ̀dė̱	kŏ̀dė̱	k ŏ̀ d ė̱	k ɔ̆ d ə͉	k ɔ d ə
25314	Collombey	(au) coude	cubitu	VS	6.9459222	46.2679563	kw̱ŏ̀dò	kw̱ŏ̀dò	k w̱ ŏ̀ d ò	k w͉ ɔ̆ d ɔ	k w ɔ d ɔ
25318	Lourtier	(au) coude	cubitu	VS	7.265844	46.049002	t̮œ̀u̱do̱	t̮œ̀u̱do̱	t̮ œ̀ u̱ d o̱	tʲ  y͉ d o̝͉	tʲ œ y d o
25320	Conthey	(au) coude	cubitu	VS	7.3083227	46.2334191	kç̑œu̱dò	kç̑œu̱dò	k ç̑ œ u̱ d ò	k ç ø̞ y͉ d ɔ	k ç ø y d ɔ
25321	Nendaz	(au) coude	cubitu	VS	7.3047431	46.1855093	kœͦ̆ʋ̱dò	kœͦ̆ʋ̱dò	k œͦ̆ ʋ̱ d ò	k ɞ̆ u͉ d ɔ	k ɞ u d ɔ
25326	Évolène	(au) coude	cubitu	VS	7.4963134	46.1125593	kŏ́ʋ̱dò	kŏ́ʋ̱dò	k ŏ́ ʋ̱ d ò	k ŏ u͉ d ɔ	k o u d ɔ
25327	Grimentz	(au) coude	cubitu	VS	7.5763635	46.1801158	kŏ̀dŏ̀	kŏ̀dŏ̀	k ŏ̀ d ŏ̀	k ɔ̆ d ɔ̆	k ɔ d ɔ
25330	Laconnex	(au) coude	cubitu	GE	6.0355571	46.1557721	kȯd̯	kȯd̯	k ȯ d̯	k ɔ̈ d̠	k ɔ d
25332	Hermance	(au) coude	cubitu	GE	6.244375	46.302258	kŏd̯ȯ̱	kŏd̯ȯ̱	k ŏ d̯ ȯ̱	k ŏ̞ d̠ ɔ͉̈	k o d ɔ
25337	Courtepin	(au) coude	cubitu	FR	7.1238357	46.8652994	kā̀ó̱dʋ̱	kā̀ó̱dʋ̱	k ā̀ ó̱ d ʋ̱	k aː o͉ d u͉	k aː o d u
25338	Dompierre	(au) coude	cubitu	FR	6.990713	46.8520788	kāò̱dʋ̱	kāò̱dʋ̱	k ā ò̱ d ʋ̱	k a̠ː ɔ͉ d u͉	k aː ɔ d u
25342	Boudry	(au) coude	cubitu	NE	6.837028	46.950218	kœ̄́d	kœ̄́d	k œ̄́ d	k øː d	k øː d
25344	Landeron	(au) coude	cubitu	NE	7.066851	47.055508	kḗtr	kḗtr	k ḗ t r	k eː t r	k eː t r
25346	Côte-aux-Fées	(au) coude	cubitu	NE	6.489867	46.866729	k̮ĕ̩̀tʋ̆	k̮ĕ̩̀tʋ̆	k̮ ĕ̩̀ t ʋ̆	kʲ ɛ̆́ t ŭ	kʲ ɛ t u
25349	Cerneux-Pêquignot	(au) coude	cubitu	NE	6.6661454	47.0169066	kʋ̆tʋ̱	kʋ̆tʋ̱	k ʋ̆ t ʋ̱	k ŭ t u͉	k u t u
25352	Plagne	(au) coude	cubitu	JU	7.284885	47.1874392	kʋtė̱r	kʋtė̱r	k ʋ t ė̱ r	k u t ə͉ r	k u t ə r
25358	Courtedoux	(au) coude	cubitu	JU	7.0413733	47.4101588	kʋ̆tṟ	kʋ̆tṟ	k ʋ̆ t ṟ	k ŭ t r͉	k u t r
#
25671	L'Auberson	(au) cœur	cor	VD	6.4590043	46.8178516	k̮œ̄́r	k̮œ̄́r	k̮ œ̄́ r	kʲ øː r	kʲ øː r
25674	Longirod	(au) cœur	cor	VD	6.2585316	46.4944282	t̮œ̄́	t̮œ̄́	t̮ œ̄́	tʲ øː	tʲ øː
25679	Prahins	(au) cœur	cor	VD	6.7383916	46.7331778	kœ̄̀r	kœ̄̀r	k œ̄̀ r	k œː r	k œː r
25683	Ormont-Dessus	(au) cœur	cor	VD	7.158066	46.3514789	t̮œ̄̀ṟ	t̮œ̄̀ṟ	t̮ œ̄̀ ṟ	tʲ œː r͉	tʲ œː r
25686	Collombey	(au) cœur	cor	VS	6.9459222	46.2679563	k̮œ̄̀	k̮œ̄̀	k̮ œ̄̀	kʲ œː	kʲ œː
25690	Lourtier	(au) cœur	cor	VS	7.265844	46.049002	t̮œ́	t̮œ́	t̮ œ́	tʲ ø	tʲ ø
25692	Conthey	(au) cœur	cor	VS	7.3083227	46.2334191	kç̑œ̄	kç̑œ̄	k ç̑ œ̄	k ç ø̞ː	k ç øː
25693	Nendaz	(au) cœur	cor	VS	7.3047431	46.1855093	kʋ̆	kʋ̆	k ʋ̆	k ŭ	k u
25698	Évolène	(au) cœur	cor	VS	7.4963134	46.1125593	kʋ̄	kʋ̄	k ʋ̄	k uː	k uː
25699	Grimentz	(au) cœur	cor	VS	7.5763635	46.1801158	kʋ̄r	kʋ̄r	k ʋ̄ r	k uː r	k uː r
25702	Laconnex	(au) cœur	cor	GE	6.0355571	46.1557721	kœ̄́r	kœ̄́r	k œ̄́ r	k øː r	k øː r
25704	Hermance	(au) cœur	cor	GE	6.244375	46.302258	kœͧ̄	kœͧ̄	k œͧ̄	k ø̝ː	k øː
25709	Courtepin	(au) cœur	cor	FR	7.1238357	46.8652994	kā̀r	kā̀r	k ā̀ r	k aː r	k aː r
25710	Dompierre	(au) cœur	cor	FR	6.990713	46.8520788	kāò̱	kāò̱	k ā ò̱	k a̠ː ɔ͉	k aː ɔ
25716	Landeron	(au) cœur	cor	NE	7.066851	47.055508	kḗr	kḗr	k ḗ r	k eː r	k eː r
25718	Côte-aux-Fées	(au) cœur	cor	NE	6.489867	46.866729	kwœ̄́	kwœ̄́	k w œ̄́	k w øː	k w øː
25721	Cerneux-Pêquignot	(au) cœur	cor	NE	6.6661454	47.0169066	kẖœ́	kẖœ́	k ẖ œ́	k h͉ ø	k h ø
25724	Plagne	(au) cœur	cor	JU	7.284885	47.1874392	kœ̄́r	kœ̄́r	k œ̄́ r	k øː r	k øː r
25730	Courtedoux	(au) cœur	cor	JU	7.0413733	47.4101588	t̮ūė̱r	t̮ūė̱r	t̮ ū ė̱ r	tʲ ỹː ə͉ r	tʲ yː ∼ ə r
25714	Boudry	(au) cœur	cor	NE	6.837028	46.950218	kœ̄̀r	kœ̄̀r	k œ̄̀ r	k œː r	k œː r
#
25361	L'Auberson	(au) doigt	digitu	VD	6.4590043	46.8178516	dĕ	dĕ	d ĕ	d ĕ̞	d e
25364	Longirod	(au) doigt	digitu	VD	6.2585316	46.4944282	dā́	dā́	d ā́	d ɑː	d ɑː
25369	Prahins	(au) doigt	digitu	VD	6.7383916	46.7331778	daͤ̄	daͤ̄	d aͤ̄	d æː	d æː
25373	Ormont-Dessus	(au) doigt	digitu	VD	7.158066	46.3514789	da̱è	da̱è	d a̱ è	d a̠͉ ɛ	d a ɛ
25376	Collombey	(au) doigt	digitu	VS	6.9459222	46.2679563	dā́	dā́	d ā́	d ɑː	d ɑː
25380	Lourtier	(au) doigt	digitu	VS	7.265844	46.049002	dā	dā	d ā	d a̠ː	d aː
25382	Conthey	(au) doigt	digitu	VS	7.3083227	46.2334191	daͤi̱	daͤi̱	d aͤ i̱	d æ i͉	d æ i
25383	Nendaz	(au) doigt	digitu	VS	7.3047431	46.1855093	dei̱	dei̱	d e i̱	d e̞ i͉	d e i
25388	Évolène	(au) doigt	digitu	VS	7.4963134	46.1125593	dĕ́k	dĕ́k	d ĕ́ k	d ĕ k	d e k
25389	Grimentz	(au) doigt	digitu	VS	7.5763635	46.1801158	dĕ̀kç̱̑	dĕ̀kç̱̑	d ĕ̀ k ç̱̑	d ɛ̆ k ç͉	d ɛ k ç
25392	Laconnex	(au) doigt	digitu	GE	6.0355571	46.1557721	dằ	dằ	d ằ	d ă	d a
25394	Hermance	(au) doigt	digitu	GE	6.244375	46.302258	dḕ	dḕ	d ḕ	d ɛː	d ɛː
25400	Dompierre	(au) doigt	digitu	FR	6.990713	46.8520788	dāè̱	dāè̱	d ā è̱	d a̠ː ɛ͉	d aː ɛ
25406	Landeron	(au) doigt	digitu	NE	7.066851	47.055508	dĕ̀	dĕ̀	d ĕ̀	d ɛ̆	d ɛ
25408	Côte-aux-Fées	(au) doigt	digitu	NE	6.489867	46.866729	dĕ̀	dĕ̀	d ĕ̀	d ɛ̆	d ɛ
25411	Cerneux-Pêquignot	(au) doigt	digitu	NE	6.6661454	47.0169066	daͤ̆	daͤ̆	d aͤ̆	d æ̆	d æ
25414	Plagne	(au) doigt	digitu	JU	7.284885	47.1874392	dā́è̱	dā́è̱	d ā́ è̱	d ɑː ɛ͉	d ɑː ɛ
25420	Courtedoux	(au) doigt	digitu	JU	7.0413733	47.4101588	dwaͤ̆	dwaͤ̆	d w aͤ̆	d w æ̆	d w æ
25399	Courtepin	(au) doigt	digitu	FR	7.1238357	46.8652994	dā̀	dā̀	d ā̀	d aː	d aː
25404	Boudry	(au) doigt	digitu	NE	6.837028	46.950218	dĕ̀	dĕ̀	d ĕ̀	d ɛ̆	d ɛ
#
25268	Laconnex	(au) genou	genuclu	GE	6.0355571	46.1557721	ẓĕ̀nằ	ẓĕ̀nằ	ẓ ĕ̀ n ằ	ð ɛ̆ n ă	ð ɛ n a
25276	Dompierre	(au) genou	genuclu	FR	6.990713	46.8520788	dzėnaͦ	dzėnaͦ	d z ė n aͦ	d z ə n ɒ̝	d z ə n ɒ
25237	L'Auberson	(au) genou	genuclu	VD	6.4590043	46.8178516	dzĕ̀nœ́	dzĕ̀nœ́	d z ĕ̀ n œ́	d z ɛ̆ n ø	d z ɛ n ø
25240	Longirod	(au) genou	genuclu	VD	6.2585316	46.4944282	aó dzĕ̀nā̀	aó_dzĕ̀nā̀	a ó _ d z ĕ̀ n ā̀	a̠ o _ d z ɛ̆ n aː	a o + d z ɛ n aː
25245	Prahins	(au) genou	genuclu	VD	6.7383916	46.7331778	dzēnṑ̩	dzēnṑ̩	d z ē n ṑ̩	d z e̞ː n	d z eː n oː
25249	Ormont-Dessus	(au) genou	genuclu	VD	7.158066	46.3514789	dzė̱na͜o	dzė̱nao	d z ė̱ n a o	d z ə͉ n a̠ o̞	d z ə n a o
25252	Collombey	(au) genou	genuclu	VS	6.9459222	46.2679563	dzĕ̀nœu̱	dzĕ̀nœu̱	d z ĕ̀ n œ u̱	d z ɛ̆ n ø̞ y͉	d z ɛ n ø y
25256	Lourtier	(au) genou	genuclu	VS	7.265844	46.049002	dzȯn̄èė̱	dzȯn̄èė̱	d z ȯ n̄ è ė̱	d z ɔ̈ nː ɛ ə͉	d z ɔ nː ɛ ə
25258	Conthey	(au) genou	genuclu	VS	7.3083227	46.2334191	dzŏ̀naͤi	dzŏ̀naͤi	d z ŏ̀ n aͤ i	d z ɔ̆ n æ i	d z ɔ n æ i
25259	Nendaz	(au) genou	genuclu	VS	7.3047431	46.1855093	dzŏ̀nĕi̱	dzŏ̀nĕi̱	d z ŏ̀ n ĕ i̱	d z ɔ̆ n ĕ̞ i͉	d z ɔ n e i
