LEXEME	REPLACEMENT	COMMENT
l prò͜ó ̱	l prò͜ó	
ò ͜ăsè̱	òăsè̱	
è lė batc̵̾œ̆̀	è lė batc̵̾œ̆̀	
o ͜ ḕrba	oḕrba	
d ăvè̄na	d ăvèna	
kwè ͜ʋ̄ tʋ̆	kwèʋ̄ tʋ̆	
- ȯvri̇	ovri	
dĕ̀ c̵͜a̱è̃drè̱	dĕ̀ c̵a̱è̃drè̱	
dė s͜aͦ̃ė̃dre̱	dė saͦ̃ė̃dre̱	
