ID,Concepts
1,1 2 3
2,4 5 6
3,7 8 9
4,10 11 12
5,13 14 15 16
6,17 18
7,19 20 21
8,22 23 24
9,25 26
10,27 28
11,29 30 31
12,29 30 32
13,33 34 35 36
14,37 38 39 40
15,37 38 39 41
16,42 43
17,44 45
18,46
19,47 48 49
20,50 51 52 53 54
21,50 55 56
22,50 55 57
23,50 58 59
24,62 63 64
25,65 66
26,67 68 69 70
27,71 72
28,73 74
29,75 76 77
30,81 82
31,83 84
32,85 86
33,87 88
34,89 90 91 92 93
35,94 95 96
36,97 98 99 100
37,101 102 103 104
38,105 106
39,107 108
40,109 120 111 112
41,131 132 133
42,139 140 141
43,142 143 144
44,145 146
45,147 148
46,149 150
47,151 152 153
48,154 155
49,156 157
50,158 159 160 161
51,158 159 162 163
52,158 159 164
53,158 159 165 166
54,158 159 167 168
55,174 175
56,176 177
57,178 179
58,180
59,181
60,182
61,183 184
62,185 186
63,187 188
64,189 190
65,191
66,192 193
67,192 194
68,192 195
69,192 196
70,192 197
71,192 198
72,192 199
73,192 200
74,192 201
75,192 202 204
76,192 203 204
77,192 205 207
78,192 206 207
79,192 208 210
80,192 209 210
81,211 212 213
82,214 215
83,214 216
84,214 217
85,214 223 224
86,227 228
87,229 230 231
88,233 234
89,233 235
90,236 237
91,236 238
92,239 240
93,241 242
94,243 244 245
95,246
96,247 248
97,251 252
98,254 255 256 257
99,258 259 260
100,261 262 263 264
101,265 266 267 268
102,269 270 271 272
103,273 274 275 276
104,282 283
105,284 285
106,286 287
107,288 289
108,290 291 292
109,290 293 294
110,295 296
111,297 298 299 300
112,301 302
113,303 304 305
114,306 307
115,308
116,309 310 311
117,312 313 314 315
118,316 317
119,318 319
120,320 321 322
121,325 326 327
122,328
123,329 330 331 332 333
124,334 335 336
125,337 338 339
126,340 341 342
127,343 344 345
128,346 347
129,348 349
130,350 351
131,352 353
132,354 355
133,356 357
134,358
135,366 367 368 369
136,370 371
137,370 372
138,373 374 375
139,376
140,377 378
141,379 380 381
142,382 383 384 385
143,386 387
144,388 389 390
145,391 392
146,397 398 399
147,400 401
148,402 403
150,405
151,406 407
152,406 408
153,406 409
154,406 410
155,406 411
156,406 412
157,406 413
158,406 414
159,406 415
160,406 416
161,406 417
162,406 418
163,406 419
164,406 420
165,406 421
166,406 422
167,406 423
168,424 426
169,425 426
170,427 428
171,429 430
172,433 434
173,435 436
174,437 438
175,439
176,440 441
177,447 448 449
178,447 448 453 454
179,455 456 457 458
180,459 460 461
181,462 463 464
