Grapheme	UCN	Phonetic Value
ç̵̑	LATIN SMALL LETTER c WITH COMBINING SHORT STROKE OVERLAY AND COMBINING CEDILLA AND COMBINING INVERTED BREVE	voiceless alveolo-palatal fricative
c̵̯	LATIN SMALL LETTER c WITH COMBINING SHORT STROKE OVERLAY AND COMBINING INVERTED BREVE BELOW	weak voiceless postalveolar fricative
c̵̾	LATIN SMALL LETTER c WITH COMBINING SHORT STROKE OVERLAY AND COMBINING VERTICAL TILDE	weak advanced voiceless postalveolar fricative
d	LATIN SMALL LETTER D	voiced alveolar stop
d̄	LATIN SMALL LETTER D WITH COMBINING MACRON	long voiced alveolar stop
d̮	LATIN SMALL LETTER D WITH COMBINING BREVE BELOW	voiced palatalized alveolar stop
d̯	LATIN SMALL LETTER D WITH COMBINING INVERTED BREVE BELOW	voiced postalveolar stop
d̯̄	LATIN SMALL LETTER D WITH COMBINING INVERTED BREVE BELOW AND COMBINING MACRON	long voiced postalveolar stop
ḏ	LATIN SMALL LETTER D WITH COMBINING MACRON BELOW	weak voiced alveolar stop
dͭ	LATIN SMALL LETTER D WITH COMBINING LATIN SMALL LETTER T	desonorized voiced alveolar stop
e	LATIN SMALL LETTER E	mid front unrounded vowel
è	LATIN SMALL LETTER E WITH COMBINING GRAVE ACCENT	open-mid front unrounded vowel
è̃	LATIN SMALL LETTER E WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized open-mid front unrounded vowel
è̄̃	LATIN SMALL LETTER E WITH COMBINING GRAVE ACCENT AND COMBINING MACRON AND COMBINING TILDE	long nasalized open-mid front unrounded vowel
è͋	LATIN SMALL LETTER E WITH COMBINING GRAVE ACCENT AND COMBINING HOMOTHETIC ABOVE	weakly nasalized open-mid front unrounded vowel
é	LATIN SMALL LETTER E WITH COMBINING ACUTE ACCENT	close-mid front unrounded vowel
é̃	LATIN SMALL LETTER E WITH COMBINING ACUTE ACCENT AND COMBINING TILDE	nasalized close-mid front unrounded vowel
é͋	LATIN SMALL LETTER E WITH COMBINING ACUTE ACCENT AND COMBINING HOMOTHETIC ABOVE	weakly nasalized close-mid front unrounded vowel
ẽ	LATIN SMALL LETTER E WITH COMBINING TILDE	nasalized mid front unrounded vowel
ē	LATIN SMALL LETTER E WITH COMBINING MACRON	long mid front unrounded vowel
ḕ	LATIN SMALL LETTER E WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long open-mid front unrounded vowel
ḗ	LATIN SMALL LETTER E WITH COMBINING MACRON AND COMBINING ACUTE ACCENT	long close-mid front unrounded vowel
ē̃	LATIN SMALL LETTER E WITH COMBINING MACRON AND COMBINING TILDE	long nasalized mid front unrounded vowel
ĕ	LATIN SMALL LETTER E WITH COMBINING BREVE	short mid front unrounded vowel
ĕ̀	LATIN SMALL LETTER E WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short open-mid front unrounded vowel
ĕ́	LATIN SMALL LETTER E WITH COMBINING BREVE AND COMBINING ACUTE ACCENT	short close-mid front unrounded vowel
ė	LATIN SMALL LETTER E WITH COMBINING DOT ABOVE	mid central vowel
ė̃	LATIN SMALL LETTER E WITH COMBINING DOT ABOVE AND COMBINING TILDE	nasalized mid central vowel
ë	LATIN SMALL LETTER E WITH COMBINING DIAERESIS	close-mid central unrounded vowel
ë̃	LATIN SMALL LETTER E WITH COMBINING DIAERESIS AND COMBINING TILDE	nasalized close-mid central unrounded vowel
ë̄	LATIN SMALL LETTER E WITH COMBINING DIAERESIS AND COMBINING MACRON	long close-mid central unrounded vowel
ë̆	LATIN SMALL LETTER E WITH COMBINING DIAERESIS AND COMBINING BREVE	short close-mid central unrounded vowel
e̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW	stressed mid front unrounded vowel
è̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed open-mid front unrounded vowel
è̩̃	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	stressed nasalized open-mid front unrounded vowel
è̩̄̃	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING MACRON AND COMBINING TILDE	stressed long nasalized open-mid front unrounded vowel
é̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING ACUTE ACCENT	stressed short close-mid front unrounded vowel
é̩̃	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING ACUTE ACCENT AND COMBINING TILDE	stressed nasalized close-mid front unrounded vowel
ẽ̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING TILDE	stressed nasalized mid front unrounded vowel
ē̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed mid front unrounded vowel
ḕ̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING GRAVE ACCENT	stressed long open-mid front unrounded vowel
ḗ̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING ACUTE ACCENT	stressed long close-mid front unrounded vowel
ĕ̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short mid front unrounded vowel
ĕ̩̀	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short open-mid front unrounded vowel
ĕ̩́	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING ACUTE ACCENT	stressed short close-mid front unrounded vowel
ė̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed mid central vowel
ë̩	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING DIAERESIS	stressed close-mid central unrounded vowel
ë̩̆	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING DIAERESIS AND COMBINING BREVE	stressed short close-mid central unrounded vowel
e̩ͥ	LATIN SMALL LETTER E WITH e AND COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER I	stressed mid front unrounded unrounded vowel
e̩ͥ̄	LATIN SMALL LETTER E WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER LATIN SMALL LETTER I WITH COMBINING MACRON	long mid front unrounded unrounded vowel
e̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW	weak mid front unrounded vowel
è̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak open-mid front unrounded vowel
è̱̃	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	weak nasalized open-mid front unrounded vowel
é̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT	weak close-mid front unrounded vowel
é̱̃	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT AND COMBINING TILDE	weak nasalized close-mid front unrounded vowel
ẽ̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized mid front unrounded vowel
ḕ̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING MACRON AND COMBINING GRAVE ACCENT	weak long open-mid front unrounded vowel
ĕ̱̀	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	weak short open-mid front unrounded vowel
ė̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak mid central vowel
ė̱̃	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE AND COMBINING TILDE	weak nasalized mid central vowel
ë̱	LATIN SMALL LETTER E WITH COMBINING MACRON BELOW AND COMBINING DIAERESIS	weak close-mid central unrounded vowel
e̱ͥ	LATIN SMALL LETTER E WITH COMBINING LATIN SMALL LETTER LATIN SMALL LETTER I WITH COMBINING MACRON BELOW	weak mid front unrounded vowel
eͥ	LATIN SMALL LETTER E WITH COMBINING LATIN SMALL LETTER I	raised close-mid front unrounded vowel
eͥ̃	LATIN SMALL LETTER E WITH COMBINING LATIN SMALL LETTER LATIN SMALL LETTER I WITH COMBINING TILDE	nasalized raised close-mid front unrounded vowel
eͥ̄	LATIN SMALL LETTER E WITH COMBINING LATIN SMALL LETTER LATIN SMALL LETTER I WITH COMBINING MACRON	long raised close-mid front unrounded vowel
eͥ̆	LATIN SMALL LETTER E WITH COMBINING LATIN SMALL LETTER LATIN SMALL LETTER I WITH COMBINING BREVE	short raised close-mid front unrounded vowel
f	LATIN SMALL LETTER F	voiceless labiodental fricative
g	LATIN SMALL LETTER G	voiced velar stop
g̱	LATIN SMALL LETTER G WITH COMBINING MACRON BELOW	weak voiced velar stop
gͩ	LATIN SMALL LETTER G WITH COMBINING LATIN SMALL LETTER D	advanced voiced velar stop
h	LATIN SMALL LETTER H	voiceless glottal fricative
ẖ	LATIN SMALL LETTER H WITH COMBINING MACRON BELOW	weak voiceless glottal fricative
i	LATIN SMALL LETTER I	close front unrounded vowel
ì	LATIN SMALL LETTER I WITH COMBINING GRAVE ACCENT	near-close front unrounded vowel
ì̃	LATIN SMALL LETTER I WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized near-close front unrounded vowel
ĩ	LATIN SMALL LETTER I WITH COMBINING TILDE	nasalized close front unrounded vowel
ī	LATIN SMALL LETTER I WITH COMBINING MACRON	long close front unrounded vowel
ī̀	LATIN SMALL LETTER I WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long near-close front unrounded vowel
ĭ	LATIN SMALL LETTER I WITH COMBINING BREVE	short close front unrounded vowel
ĭ̀	LATIN SMALL LETTER I WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short near-close front unrounded vowel
ï	LATIN SMALL LETTER I WITH COMBINING DIAERESIS	near-close central unrounded vowel
i̩	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW	stressed close front unrounded vowel
ì̩	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed near-close front unrounded vowel
ī̩	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed long close front unrounded vowel
ĭ̩	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short close front unrounded vowel
ĭ̩̀	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short near-close front unrounded vowel
ï̩	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING DIAERESIS	stressed near-close central unrounded vowel
ï̩̄	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING DIAERESIS AND COMBINING MACRON	long stressed near-close central unrounded vowel
ï̩̆	LATIN SMALL LETTER I WITH COMBINING VERTICAL LINE BELOW AND COMBINING DIAERESIS AND COMBINING BREVE	stressed short near-close central unrounded vowel
i̱	LATIN SMALL LETTER I WITH COMBINING MACRON BELOW	weak close front unrounded vowel
ì̱	LATIN SMALL LETTER I WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak near-close front unrounded vowel
ĩ̱	LATIN SMALL LETTER I WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized close front unrounded vowel
ĭ̱	LATIN SMALL LETTER I WITH COMBINING MACRON BELOW AND COMBINING BREVE	weak short close front unrounded vowel
ï̱	LATIN SMALL LETTER I WITH COMBINING MACRON BELOW AND COMBINING DIAERESIS	weak near-close central unrounded vowel
j	LATIN SMALL LETTER J	voiced postalveolar fricative
j̱	LATIN SMALL LETTER J WITH COMBINING MACRON BELOW	weak voiced postalveolar fricative
j͛	LATIN SMALL LETTER J WITH COMBINING ZIGZAG ABOVE	advanced voiced postalveolar fricative
jͨ	LATIN SMALL LETTER J WITH COMBINING LATIN SMALL LETTER C	voiced alveolo-palatal fricative
k	LATIN SMALL LETTER K	voiceless velar stop
k̮	LATIN SMALL LETTER K WITH COMBINING BREVE BELOW	voiceless palatalized velar stop
k̮ͭ	LATIN SMALL LETTER K WITH COMBINING BREVE BELOW AND COMBINING LATIN SMALL LETTER T	voiceless palatal stop
ḵ	LATIN SMALL LETTER K WITH COMBINING MACRON BELOW	weak voiceless velar stop
l	LATIN SMALL LETTER L	voiced alveolar lateral approximant
l̄	LATIN SMALL LETTER L WITH COMBINING MACRON	long voiced alveolar lateral approximant
l̆̍	LATIN SMALL LETTER L WITH COMBINING BREVE AND COMBINING VERTICAL LINE ABOVE	voiced weakly palatalized alveolar lateral approximant
l̮	LATIN SMALL LETTER L WITH COMBINING BREVE BELOW	voiced palatalized alveolar lateral approximant
l̮̱	LATIN SMALL LETTER L WITH COMBINING BREVE BELOW AND COMBINING MACRON BELOW	weak voiced palatalized alveolar lateral approximant
l̯	LATIN SMALL LETTER L WITH COMBINING INVERTED BREVE BELOW	voiced postalveolar lateral approximant
ḻ	LATIN SMALL LETTER L WITH COMBINING MACRON BELOW	weak voiced alveolar lateral approximant
l̷	LATIN SMALL LETTER L WITH COMBINING SHORT SOLIDUS OVERLAY	voiced velar lateral approximant
ł̄	LATIN SMALL LETTER L WITH STROKE AND COMBINING MACRON	long voiced velar lateral approximant
m	LATIN SMALL LETTER M	voiced bilabial nasal stop
m̄	LATIN SMALL LETTER M WITH COMBINING MACRON	long voiced bilabial nasal stop
m̱	LATIN SMALL LETTER M WITH COMBINING MACRON BELOW	weak voiced bilabial nasal stop
n	LATIN SMALL LETTER N	alveolar nasal stop
n̄	LATIN SMALL LETTER N WITH COMBINING MACRON	long alveolar nasal stop
ṅ	LATIN SMALL LETTER N WITH COMBINING DOT ABOVE	velar nasal stop
n̮	LATIN SMALL LETTER N WITH COMBINING BREVE BELOW	palatalized alveolar nasal stop
n̯	LATIN SMALL LETTER N WITH COMBINING INVERTED BREVE BELOW	postalveolar nasal stop
ṉ	LATIN SMALL LETTER N WITH COMBINING MACRON BELOW	weak alveolar nasal stop
ṉ̇	LATIN SMALL LETTER N WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak velar nasal stop
o	LATIN SMALL LETTER O	mid back rounded vowel
ò	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT	open-mid back rounded vowel
ò̃	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized open-mid back rounded vowel
ò̄̃	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING MACRON AND COMBINING TILDE	long nasalized open-mid back rounded vowel
ò͋	LATIN SMALL LETTER O WITH COMBINING GRAVE ACCENT AND COMBINING HOMOTHETIC ABOVE	long weakly nazalized open-mid back rounded vowel
ó	LATIN SMALL LETTER O WITH COMBINING ACUTE ACCENT	close-mid back rounded vowel
ó̃	LATIN SMALL LETTER O WITH COMBINING ACUTE ACCENT AND COMBINING TILDE	nasalized close-mid back rounded vowel
õ	LATIN SMALL LETTER O WITH COMBINING TILDE	nasalized mid back rounded vowel
ō	LATIN SMALL LETTER O WITH COMBINING MACRON	long mid back rounded vowel
ṑ	LATIN SMALL LETTER O WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long open-mid back rounded vowel
ṓ	LATIN SMALL LETTER O WITH COMBINING MACRON AND COMBINING ACUTE ACCENT	long close-mid back rounded vowel
ŏ	LATIN SMALL LETTER O WITH COMBINING BREVE	long mid back rounded vowel
ŏ̀	LATIN SMALL LETTER O WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short open-mid back rounded vowel
ŏ́	LATIN SMALL LETTER O WITH COMBINING BREVE AND COMBINING ACUTE ACCENT	short close-mid back rounded vowel
ȯ	LATIN SMALL LETTER O WITH COMBINING DOT ABOVE	close-mid central rounded vowel
ȱ	LATIN SMALL LETTER O WITH COMBINING DOT ABOVE AND COMBINING MACRON	long close-mid central rounded vowel
o̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW	stressed mid back rounded vowel
ò̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT	stressed open-mid back rounded vowel
ò̩̃	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	stressed nasalized open-mid back rounded vowel
ó̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING ACUTE ACCENT	stressed close-mid back rounded vowel
ṓ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING ACUTE ACCENT	long stressed close-mid back rounded vowel
ŏ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short mid back rounded vowel
ŏ̩̀	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short open-mid back rounded vowel
ȯ̩	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed close-mid central rounded vowel
ò̩̱	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	stressed weak open-mid back rounded vowel
ȯ̩̱	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON BELOW AND COMBINING DOT ABOVE	stressed weak close-mid central rounded vowel
o̩ͮ	LATIN SMALL LETTER O WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER V	stressed near-close back rounded vowel
o̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW	weak mid back rounded vowel
ò̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak open-mid back rounded vowel
ò̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	weak nasalized open-mid back rounded vowel
ó̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT	weak close-mid back rounded vowel
ó̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT AND COMBINING TILDE	weak nasalized close-mid back rounded vowel
õ̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized mid back rounded vowel
ō̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING MACRON	weak long mid back rounded vowel
ȯ̱	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak close-mid central rounded vowel
ȯ̱̃	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE AND COMBINING TILDE	weak nasalized close-mid central rounded vowel
o̱ͮ	LATIN SMALL LETTER O WITH COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER V	weak near-close back rounded vowel
oͮ	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V	near-close back rounded vowel
oͮ̃	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING TILDE	nasalized near-close back rounded vowel
oͮ̄	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING MACRON	long near-close back rounded vowel
oͮ̆	LATIN SMALL LETTER O WITH COMBINING LATIN SMALL LETTER V AND COMBINING BREVE	short near-close back rounded vowel
p	LATIN SMALL LETTER P	voiceless bilabial stop
r	LATIN SMALL LETTER R	voiced dental trill
