Grapheme	UCN	Phonetic Value
a	LATIN SMALL LETTER A	open central unrounded vowel
à	LATIN SMALL LETTER A WITH COMBINING GRAVE ACCENT	open front unrounded vowel
à̃	LATIN SMALL LETTER A WITH COMBINING GRAVE ACCENT AND COMBINING TILDE	nasalized open front unrounded vowel
à̄̃	LATIN SMALL LETTER A WITH COMBINING GRAVE ACCENT AND COMBINING MACRON AND COMBINING TILDE	long nasalized open front unrounded vowel
á	LATIN SMALL LETTER A WITH COMBINING ACUTE ACCENT	open back unrounded vowel
á̃	LATIN SMALL LETTER A WITH COMBINING ACUTE ACCENT AND COMBINING TILDE	nasalized open back unrounded vowel
ã	LATIN SMALL LETTER A WITH COMBINING TILDE	nasalized open central unrounded vowel
ā	LATIN SMALL LETTER A WITH COMBINING MACRON	long open central unrounded vowel
ā̀	LATIN SMALL LETTER A WITH COMBINING MACRON AND COMBINING GRAVE ACCENT	long open front unrounded vowel
ā́	LATIN SMALL LETTER A WITH COMBINING MACRON AND COMBINING ACUTE ACCENT	long open back unrounded vowel
ā̃	LATIN SMALL LETTER A WITH COMBINING MACRON AND COMBINING TILDE	long nasalized open central unrounded vowel
ă	LATIN SMALL LETTER A WITH COMBINING BREVE	short open central unrounded vowel
ằ	LATIN SMALL LETTER A WITH COMBINING BREVE AND COMBINING GRAVE ACCENT	short open front unrounded vowel
ắ	LATIN SMALL LETTER A WITH COMBINING BREVE AND COMBINING ACUTE ACCENT	short open back unrounded vowel
ȧ	LATIN SMALL LETTER A WITH COMBINING DOT ABOVE	near-open central unrounded vowel
a̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW	stressed open central unrounded vowel
à̩̃	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING GRAVE ACCENT AND COMBINING TILDE	stressed nasalized open front unrounded vowel
á̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING ACUTE ACCENT	stressed open back unrounded vowel
ã̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING TILDE	stressed nasalized open central unrounded vowel
ā̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON	stressed long open central unrounded vowel
ā̩̀	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING GRAVE ACCENT	stressed long open front unrounded vowel
ā̩́	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING ACUTE ACCENT	stressed long open back unrounded vowel
ā̩̃	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING MACRON AND COMBINING TILDE	stressed long nasalized open central unrounded vowel
ă̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE	stressed short open central unrounded vowel
ằ̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING GRAVE ACCENT	stressed short open front unrounded vowel
ắ̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING ACUTE ACCENT	stressed short open back unrounded vowel
ă̩̇	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING BREVE AND COMBINING DOT ABOVE	stressed short near-open central unrounded vowel
ȧ̩	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING DOT ABOVE	stressed near-open central unrounded vowel
a̩ͤ	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER E	stressed near-open front unrounded vowel
a̩ͤ̄	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER E AND COMBINING MACRON	stressed long near-open front unrounded vowel
a̩ͤ̆	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER E AND COMBINING BREVE	stressed short near-open front unrounded vowel
a̩ͦ	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER O	stressed near-open back unrounded vowel
a̩ͦ̃	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER O AND COMBINING TILDE	stressed nasalized near-open back unrounded vowel
a̩ͦ̄	LATIN SMALL LETTER A WITH COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER O AND COMBINING MACRON	stressed long near-open back unrounded vowel
a̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW	weak open central unrounded vowel
à̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING GRAVE ACCENT	weak open front unrounded vowel
á̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING ACUTE ACCENT	weak open back unrounded vowel
ã̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING TILDE	weak nasalized open central unrounded vowel
ă̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING BREVE	weak short open central unrounded vowel
ȧ̱	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING DOT ABOVE	weak near-open central unrounded vowel
a̱̩	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING VERTICAL LINE BELOW	weak long open central unrounded vowel
a̱̩ͤ	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING VERTICAL LINE BELOW AND COMBINING LATIN SMALL LETTER E	weak long near-open front unrounded vowel
a̱ͤ	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER E	weak near-open front unrounded vowel
a̱ͦ	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER O	weak near-open back unrounded vowel
a̱ͦ̃	LATIN SMALL LETTER A WITH COMBINING MACRON BELOW AND COMBINING LATIN SMALL LETTER O AND COMBINING TILDE	weak nasalized near-open back unrounded vowel
aͤ	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER E	near-open front unrounded vowel
aͤ̃	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER E AND COMBINING TILDE	nasalized near-open front unrounded vowel
aͤ̄	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER E AND COMBINING MACRON	long near-open front unrounded vowel
aͤ̆	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER E AND COMBINING BREVE	short near-open front unrounded vowel
aͤ͋	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER E AND COMBINING HOMOTHETIC ABOVE	weakly nazalized near-open front unrounded vowel
aͦ	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER O	near-open back unrounded vowel
aͦ̃	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER O AND COMBINING TILDE	nasalized near-open back unrounded vowel
aͦ̄	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER O AND COMBINING MACRON	long near-open back unrounded vowel
aͦ̆	LATIN SMALL LETTER A WITH COMBINING LATIN SMALL LETTER O AND COMBINING BREVE	short near-open back unrounded vowel
b	LATIN SMALL LETTER B	voiced bilabial stop
c	LATIN SMALL LETTER c	C-base
c̑	LATIN SMALL LETTER c WITH COMBINING INVERTED BREVE	voiceless velar fricative
ç̑	LATIN SMALL LETTER c WITH COMBINING CEDILLA AND COMBINING INVERTED BREVE	voiceless palatal fricative
ç̱̑	LATIN SMALL LETTER c WITH COMBINING CEDILLA AND COMBINING MACRON BELOW AND COMBINING INVERTED BREVE	weak voiceless palatal fricative
c̱̑	LATIN SMALL LETTER c WITH COMBINING MACRON BELOW AND COMBINING INVERTED BREVE	weak voiceless velar fricative
c̵	LATIN SMALL LETTER c WITH COMBINING SHORT STROKE OVERLAY	voiceless postalveolar fricative
